"","location_name","rei_name","year_id","EV_prev","min_prev","max_prev"
"1","Armenia","Mild anemia",1990,111059,78635,162259
"2","Armenia","Mild anemia",1995,112358,85243,151118
"3","Armenia","Mild anemia",2000,115219,90584,148342
"4","Armenia","Mild anemia",2005,118384,90224,158488
"5","Armenia","Mild anemia",2010,112661,79561,163937
"6","Armenia","Mild anemia",2015,106593,69959,171614
"7","Armenia","Mild anemia",2020,104993,64785,178968
"8","Armenia","Mild anemia",2021,105120,64476,182231
"9","Armenia","Moderate anemia",1990,81981,51387,119449
"10","Armenia","Moderate anemia",1995,84996,56209,118483
"11","Armenia","Moderate anemia",2000,83271,61175,109218
"12","Armenia","Moderate anemia",2005,76701,60161,96572
"13","Armenia","Moderate anemia",2010,67755,48903,90086
"14","Armenia","Moderate anemia",2015,60237,39586,87001
"15","Armenia","Moderate anemia",2020,56944,34105,88093
"16","Armenia","Moderate anemia",2021,56719,33210,88357
"17","Armenia","Severe anemia",1990,7128,1363,18310
"18","Armenia","Severe anemia",1995,7346,2021,16843
"19","Armenia","Severe anemia",2000,6504,2406,13036
"20","Armenia","Severe anemia",2005,5087,1908,9766
"21","Armenia","Severe anemia",2010,4248,1101,9109
"22","Armenia","Severe anemia",2015,3664,601,9270
"23","Armenia","Severe anemia",2020,3432,376,9556
"24","Armenia","Severe anemia",2021,3418,355,9646
"25","Armenia","Women of reproductive age",1990,866477.345034697,594740.421898525,1221707.33206844
"26","Armenia","Women of reproductive age",1995,897337.743227402,668920.072556624,1181052.8786137
"27","Armenia","Women of reproductive age",2000,922914.679709592,718223.195541106,1171803.44246628
"28","Armenia","Women of reproductive age",2005,917147.546966605,686475.122074858,1200938.62439746
"29","Armenia","Women of reproductive age",2010,861130.692930867,595883.186483427,1216359.40281563
"30","Armenia","Women of reproductive age",2015,787760.923429613,498837.105018075,1193893.87427765
"31","Armenia","Women of reproductive age",2020,743109.583696416,447159.853922082,1195467.63500703
"32","Armenia","Women of reproductive age",2021,736930.198575875,438941.93139483,1192046.44684424
"33","Armenia","Pregnant women",2000,33200.199785039,25657.321693064,42636.9384905157
"34","Armenia","Pregnant women",2005,31615.0740162694,23542.2806931067,41694.1165183826
"35","Armenia","Pregnant women",2010,28882.950293391,19917.9589683393,40958.6758788508
"36","Armenia","Pregnant women",2015,28175.8495821948,17783.1495928822,42822.9541851108
"37","Armenia","Pregnant women",2020,26063.721721788,15649.444108237,42032.1146346552
"38","Armenia","Pregnant women",2021,25846.9868313666,15361.8379688485,41911.8271681992
"39","Malawi","Mild anemia",1990,600843,381006,1781952
"40","Malawi","Mild anemia",1995,617721,406710,1745755
"41","Malawi","Mild anemia",2000,1017023,515039,2274482
"42","Malawi","Mild anemia",2005,1443502,656333,2510162
"43","Malawi","Mild anemia",2010,1485271,679331,2835462
"44","Malawi","Mild anemia",2015,1642322,744066,3337530
"45","Malawi","Mild anemia",2020,2045817,913153,4137406
"46","Malawi","Mild anemia",2021,2139329,943930,4282664
"47","Malawi","Moderate anemia",1990,903326,332402,1050960
"48","Malawi","Moderate anemia",1995,940073,376043,1079580
"49","Malawi","Moderate anemia",2000,913297,364671,1196717
"50","Malawi","Moderate anemia",2005,743283,413223,1275420
"51","Malawi","Moderate anemia",2010,626172,424066,1108173
"52","Malawi","Moderate anemia",2015,689451,455943,1012272
"53","Malawi","Moderate anemia",2020,814925,455268,1506341
"54","Malawi","Moderate anemia",2021,844489,464519,1608993
"55","Malawi","Severe anemia",1990,152614,8,328343
"56","Malawi","Severe anemia",1995,153896,178,312972
"57","Malawi","Severe anemia",2000,92731,0,262932
"58","Malawi","Severe anemia",2005,28142,0,174866
"59","Malawi","Severe anemia",2010,10739,0,63686
"60","Malawi","Severe anemia",2015,11942,2,57615
"61","Malawi","Severe anemia",2020,15148,0,82471
"62","Malawi","Severe anemia",2021,15920,0,92184
"63","Malawi","Women of reproductive age",1990,2202664.2592701,746922.685194462,3471401.6486782
"64","Malawi","Women of reproductive age",1995,2295003.7714298,823835.194044327,3480990.70471474
"65","Malawi","Women of reproductive age",2000,2609161.16371885,1168617.97993719,5145740.09573645
"66","Malawi","Women of reproductive age",2005,2933984.37565462,1685147.23848675,6450029.8490885
"67","Malawi","Women of reproductive age",2010,3358881.44647557,1757961.48072279,7354639.82903706
"68","Malawi","Women of reproductive age",2015,3995281.02215709,1964759.00276213,8809421.32549901
"69","Malawi","Women of reproductive age",2020,4836630.42684676,2390889.17765926,10846605.4517831
"70","Malawi","Women of reproductive age",2021,5026530.70999424,2509936.33689673,11412665.4228563
"71","Malawi","Pregnant women",2000,354025.93565204,157537.835901828,705009.223834926
"72","Malawi","Pregnant women",2005,389126.581313843,222266.360946228,861897.095256967
"73","Malawi","Pregnant women",2010,397539.62327257,207067.795815889,875305.212769485
"74","Malawi","Pregnant women",2015,398140.870139857,195214.848603805,880709.460186657
"75","Malawi","Pregnant women",2020,432138.418747478,212860.26576471,974018.390441717
"76","Malawi","Pregnant women",2021,440336.92263272,218937.062683367,1004840.63073736
