"","x"
"1","Afghanistan"
"2","Albania"
"3","Algeria"
"4","Andorra"
"5","Angola"
"6","Antigua & Barbuda"
"7","Argentina"
"8","Armenia"
"9","Australia"
"10","Austria"
"11","Azerbaijan"
"12","Bahamas"
"13","Bahrain"
"14","Bangladesh"
"15","Barbados"
"16","Belarus"
"17","Belgium"
"18","Belize"
"19","Benin"
"20","Bhutan"
"21","Bolivia"
"22","Bosnia & Herzegovina"
"23","Botswana"
"24","Brazil"
"25","Brunei"
"26","Bulgaria"
"27","Burkina Faso"
"28","Burundi"
"29","Cambodia"
"30","Cameroon"
"31","Canada"
"32","Cape Verde"
"33","Central African Republic"
"34","Chad"
"35","Chile"
"36","China"
"37","Colombia"
"38","Comoros"
"39","Congo - Brazzaville"
"40","Congo - Kinshasa"
"41","Costa Rica"
"42","Croatia"
"43","Cuba"
"44","Cyprus"
"45","Czechia"
"46","Côte d’Ivoire"
"47","Denmark"
"48","Djibouti"
"49","Dominica"
"50","Dominican Republic"
"51","Ecuador"
"52","Egypt"
"53","El Salvador"
"54","Equatorial Guinea"
"55","Eritrea"
"56","Estonia"
"57","Eswatini"
"58","Ethiopia"
"59","Fiji"
"60","Finland"
"61","France"
"62","Gabon"
"63","Gambia"
"64","Georgia"
"65","Germany"
"66","Ghana"
"67","Greece"
"68","Grenada"
"69","Guatemala"
"70","Guinea"
"71","Guinea-Bissau"
"72","Guyana"
"73","Haiti"
"74","Honduras"
"75","Hungary"
"76","Iceland"
"77","India"
"78","Indonesia"
"79","Iran"
"80","Iraq"
"81","Ireland"
"82","Israel"
"83","Italy"
"84","Jamaica"
"85","Japan"
"86","Jordan"
"87","Kazakhstan"
"88","Kenya"
"89","Kiribati"
"90","Kuwait"
"91","Kyrgyzstan"
"92","Laos"
"93","Latvia"
"94","Lebanon"
"95","Lesotho"
"96","Liberia"
"97","Libya"
"98","Lithuania"
"99","Luxembourg"
"100","Madagascar"
"101","Malawi"
"102","Malaysia"
"103","Maldives"
"104","Mali"
"105","Malta"
"106","Marshall Islands"
"107","Mauritania"
"108","Mauritius"
"109","Mexico"
"110","Micronesia (Federated States of)"
"111","Moldova"
"112","Monaco"
"113","Mongolia"
"114","Montenegro"
"115","Morocco"
"116","Mozambique"
"117","Myanmar (Burma)"
"118","Namibia"
"119","Nauru"
"120","Nepal"
"121","Netherlands"
"122","New Zealand"
"123","Nicaragua"
"124","Niger"
"125","Nigeria"
"126","North Korea"
"127","North Macedonia"
"128","Norway"
"129","Oman"
"130","Pakistan"
"131","Palau"
"132","Palestinian Territories"
"133","Panama"
"134","Papua New Guinea"
"135","Paraguay"
"136","Peru"
"137","Philippines"
"138","Poland"
"139","Portugal"
"140","Qatar"
"141","Romania"
"142","Russia"
"143","Rwanda"
"144","Samoa"
"145","San Marino"
"146","Saudi Arabia"
"147","Senegal"
"148","Serbia"
"149","Seychelles"
"150","Sierra Leone"
"151","Singapore"
"152","Slovakia"
"153","Slovenia"
"154","Solomon Islands"
"155","Somalia"
"156","South Africa"
"157","South Korea"
"158","South Sudan"
"159","Spain"
"160","Sri Lanka"
"161","St. Kitts & Nevis"
"162","St. Lucia"
"163","St. Vincent & Grenadines"
"164","Sudan"
"165","Suriname"
"166","Sweden"
"167","Switzerland"
"168","Syria"
"169","São Tomé & Príncipe"
"170","Tajikistan"
"171","Tanzania"
"172","Thailand"
"173","Timor-Leste"
"174","Togo"
"175","Tonga"
"176","Trinidad & Tobago"
"177","Tunisia"
"178","Turkey"
"179","Turkmenistan"
"180","Tuvalu"
"181","Uganda"
"182","Ukraine"
"183","United Arab Emirates"
"184","United Kingdom"
"185","United States"
"186","Uruguay"
"187","Uzbekistan"
"188","Vanuatu"
"189","Venezuela"
"190","Vietnam"
"191","Yemen"
"192","Zambia"
"193","Zimbabwe"
