"","Country","Population","Year","EV","EV_lower","EV_upper","Pr_pregnant","Pr_pregnant_lower","Pr_pregnant_upper"
"1","Armenia","Mild anemia",2000,115219,90584,148342,0.0359732058823529,0.0357233264705882,0.0363857426470588
"2","Armenia","Mild anemia",2005,118384,90224,158488,0.0344710882352941,0.0342944411764706,0.0347179411764706
"3","Armenia","Mild anemia",2010,112661,79561,163937,0.0335407279411765,0.0334259455882353,0.0336731691176471
"4","Armenia","Mild anemia",2015,106593,69959,171614,0.0357670058823529,0.0356492117647059,0.0358683088235294
"5","Armenia","Mild anemia",2020,104993,64785,178968,0.0350738602941176,0.0349974264705882,0.0351595588235294
"6","Armenia","Mild anemia",2021,105120,64476,182231,0.0350738602941176,0.0349974264705882,0.0351595588235294
"7","Armenia","Mild anemia",2030,102513.967741935,55607.64516129,196566.645161291,0.0339111644686906,0.033904109203036,0.0339706878557873
"8","Armenia","Moderate anemia",2000,83271,61175,109218,0.0359732058823529,0.0357233264705882,0.0363857426470588
"9","Armenia","Moderate anemia",2005,76701,60161,96572,0.0344710882352941,0.0342944411764706,0.0347179411764706
"10","Armenia","Moderate anemia",2010,67755,48903,90086,0.0335407279411765,0.0334259455882353,0.0336731691176471
"11","Armenia","Moderate anemia",2015,60237,39586,87001,0.0357670058823529,0.0356492117647059,0.0358683088235294
"12","Armenia","Moderate anemia",2020,56944,34105,88093,0.0350738602941176,0.0349974264705882,0.0351595588235294
"13","Armenia","Moderate anemia",2021,56719,33210,88357,0.0350738602941176,0.0349974264705882,0.0351595588235294
"14","Armenia","Moderate anemia",2030,51057.3548387091,23467.5161290318,90350.5483870969,0.0339111644686906,0.033904109203036,0.0339706878557873
"15","Armenia","Severe anemia",2000,6504,2406,13036,0.0359732058823529,0.0357233264705882,0.0363857426470588
"16","Armenia","Severe anemia",2005,5087,1908,9766,0.0344710882352941,0.0342944411764706,0.0347179411764706
"17","Armenia","Severe anemia",2010,4248,1101,9109,0.0335407279411765,0.0334259455882353,0.0336731691176471
"18","Armenia","Severe anemia",2015,3664,601,9270,0.0357670058823529,0.0356492117647059,0.0358683088235294
"19","Armenia","Severe anemia",2020,3432,376,9556,0.0350738602941176,0.0349974264705882,0.0351595588235294
"20","Armenia","Severe anemia",2021,3418,355,9646,0.0350738602941176,0.0349974264705882,0.0351595588235294
"21","Armenia","Severe anemia",2030,3020.25806451611,0,10180.9032258065,0.0339111644686906,0.033904109203036,0.0339706878557873
"22","Malawi","Mild anemia",2000,1017023,515039,2274482,0.135685729411765,0.134806958823529,0.137008323529412
"23","Malawi","Mild anemia",2005,1443502,656333,2510162,0.132627352941176,0.131897294117647,0.133626838235294
"24","Malawi","Mild anemia",2010,1485271,679331,2835462,0.118354764705882,0.117788585294118,0.119014014705882
"25","Malawi","Mild anemia",2015,1642322,744066,3337530,0.0996527823529412,0.0993581647058824,0.0999735882352941
"26","Malawi","Mild anemia",2020,2045817,913153,4137406,0.089347,0.08902975,0.089799375
"27","Malawi","Mild anemia",2021,2139329,943930,4282664,0.0876025529411765,0.0872281338235294,0.0880460955882353
"28","Malawi","Mild anemia",2030,2873473.12903234,1246423.12903228,5713420.58064526,0.0692462569259948,0.0687988347248565,0.0699050827798846
"29","Malawi","Moderate anemia",2000,913297,364671,1196717,0.135685729411765,0.134806958823529,0.137008323529412
"30","Malawi","Moderate anemia",2005,743283,413223,1275420,0.132627352941176,0.131897294117647,0.133626838235294
"31","Malawi","Moderate anemia",2010,626172,424066,1108173,0.118354764705882,0.117788585294118,0.119014014705882
"32","Malawi","Moderate anemia",2015,689451,455943,1012272,0.0996527823529412,0.0993581647058824,0.0999735882352941
"33","Malawi","Moderate anemia",2020,814925,455268,1506341,0.089347,0.08902975,0.089799375
"34","Malawi","Moderate anemia",2021,844489,464519,1608993,0.0876025529411765,0.0872281338235294,0.0880460955882353
"35","Malawi","Moderate anemia",2030,1073081.38709679,469056.70967742,2500669.64516139,0.0692462569259948,0.0687988347248565,0.0699050827798846
"36","Malawi","Severe anemia",2000,92731,0,262932,0.135685729411765,0.134806958823529,0.137008323529412
"37","Malawi","Severe anemia",2005,28142,0,174866,0.132627352941176,0.131897294117647,0.133626838235294
"38","Malawi","Severe anemia",2010,10739,0,63686,0.118354764705882,0.117788585294118,0.119014014705882
"39","Malawi","Severe anemia",2015,11942,2,57615,0.0996527823529412,0.0993581647058824,0.0999735882352941
"40","Malawi","Severe anemia",2020,15148,0,82471,0.089347,0.08902975,0.089799375
"41","Malawi","Severe anemia",2021,15920,0,92184,0.0876025529411765,0.0872281338235294,0.0880460955882353
"42","Malawi","Severe anemia",2030,21770.967741936,0,139831.064516133,0.0692462569259948,0.0687988347248565,0.0699050827798846
